ts,cpu_request,mem_request,oom,nodeid
1719629662,0.552,191121646,0,2
1719629663,0.552,191121646,0,2
1719629664,0.552,191121646,0,2
1719629665,0.552,191121646,0,2
1719629666,0.552,191121646,0,2
1719629667,0.552,191121646,0,2
1719629668,0.552,191121646,0,2
1719629669,0.552,191121646,0,2
1719629670,0.552,191121646,0,2
1719629671,0.552,191121646,0,2
1719629672,0.552,191121646,0,2
1719629673,0.552,191121646,0,2
1719629674,0.552,191121646,0,2
1719629675,0.552,191121646,0,2
1719629676,0.552,191121646,0,2
1719629677,0.552,191121646,0,2
1719629678,0.552,191121646,0,2
1719629679,0.552,191121646,0,2
1719629680,0.552,191121646,0,2
1719629681,0.552,191121646,0,2
1719629682,0.552,191121646,0,2
1719629683,0.552,191121646,0,2
1719629684,0.552,191121646,0,2
1719629685,0.552,191121646,0,2
1719629686,0.552,191121646,0,2
1719629687,0.552,191121646,0,2
1719629688,0.552,191121646,0,2
1719629689,0.552,191121646,0,2
1719629690,0.552,191121646,0,2
1719629691,0.552,191121646,0,2
1719629692,0.552,191121646,0,2
1719629693,0.552,191121646,0,2
1719629694,0.552,191121646,0,2
1719629695,0.552,191121646,0,2
1719629696,0.552,191121646,0,2
1719629697,0.552,191121646,0,2
1719629698,0.552,191121646,0,2
1719629699,0.552,191121646,0,2
1719629700,0.552,191121646,0,2
1719629701,0.552,191121646,0,2
1719629702,0.552,191121646,0,2
1719629703,0.552,191121646,0,2
1719629704,0.552,191121646,0,2
1719629705,0.552,191121646,0,2
1719629706,0.552,191121646,0,2
1719629707,0.552,191121646,0,2
1719629708,0.552,191121646,0,2
1719629709,0.552,191121646,0,2
1719629710,0.552,191121646,0,2
1719629711,0.552,191121646,0,2
1719629712,0.552,191121646,0,2
1719629713,0.552,191121646,0,2
1719629714,0.552,191121646,0,2
1719629715,0.552,191121646,0,2
1719629716,0.552,191121646,0,2
1719629717,0.552,191121646,0,2
1719629718,0.552,191121646,0,2
1719629719,0.552,191121646,0,2
1719629720,0.552,191121646,0,2
1719629721,0.552,191121646,0,2
1719629722,0.552,191121646,0,2
1719629723,0.552,191121646,0,2
1719629724,0.552,191121646,0,2
1719629725,0.552,191121646,0,2
1719629726,0.552,191121646,0,2
1719629727,0.552,191121646,0,2
1719629728,0.552,191121646,0,2
1719629729,0.552,191121646,0,2
1719629730,0.552,191121646,0,2
1719629731,0.552,191121646,0,2
1719629732,0.552,191121646,0,2
1719629733,0.552,191121646,0,2
1719629734,0.552,191121646,0,2
1719629735,0.552,191121646,0,2
1719629736,0.552,191121646,0,2
1719629737,0.552,191121646,0,2
1719629738,0.552,191121646,0,2
1719629739,0.552,191121646,0,2
1719629740,0.552,191121646,0,2
1719629741,0.552,191121646,0,2
1719629742,0.552,191121646,0,2
1719629743,0.552,191121646,0,2
1719629744,0.552,191121646,0,2
1719629745,0.552,191121646,0,2
1719629746,0.552,191121646,0,2
1719629747,0.552,191121646,0,2
1719629748,0.552,191121646,0,2
1719629749,0.552,191121646,0,2
1719629750,0.552,191121646,0,2
1719629751,0.552,191121646,0,2
1719629752,0.552,191121646,0,2
1719629753,0.552,191121646,0,2
1719629754,0.552,191121646,0,2
1719629755,0.552,191121646,0,2
1719629756,0.552,191121646,0,2
1719629757,0.552,191121646,0,2
1719629758,0.552,191121646,0,2
1719629759,0.552,191121646,0,2
1719629760,0.552,191121646,0,2
1719629761,0.552,191121646,0,2
1719629762,0.552,191121646,0,2
1719629763,0.552,191121646,0,2
1719629764,0.552,191121646,0,2
1719629765,0.552,191121646,0,2
1719629766,0.552,191121646,0,2
1719629767,0.552,191121646,0,2
1719629768,0.552,191121646,0,2
1719629769,0.552,191121646,0,2
1719629770,0.552,191121646,0,2
1719629771,0.552,191121646,0,2
1719629772,0.552,191121646,0,2
1719629773,0.552,191121646,0,2
1719629774,0.552,191121646,0,2
1719629775,0.552,191121646,0,2
1719629776,0.552,191121646,0,2
1719629777,0.552,191121646,0,2
1719629778,0.552,191121646,0,2
1719629779,0.552,191121646,0,2
1719629780,0.552,191121646,0,2
1719629781,0.552,191121646,0,2
1719629782,0.552,191121646,0,2
1719629783,0.552,191121646,0,2
1719629784,0.552,191121646,0,2
1719629785,0.552,191121646,0,2
1719629786,0.552,191121646,0,2
1719629787,0.552,191121646,0,2
1719629788,0.552,191121646,0,2
1719629789,0.552,191121646,0,2
1719629790,0.552,191121646,0,2
1719629791,0.552,191121646,0,2
1719629792,0.552,191121646,0,2
1719629793,0.552,191121646,0,2
1719629794,0.552,191121646,0,2
1719629795,0.552,191121646,0,2
1719629796,0.552,191121646,0,2
1719629797,0.552,191121646,0,2
1719629798,0.552,191121646,0,2
1719629799,0.552,191121646,0,2
1719629800,0.552,191121646,0,2
1719629801,0.552,191121646,0,2
1719629802,0.552,191121646,0,2
1719629803,0.552,191121646,0,2
1719629804,0.552,191121646,0,2
1719629805,0.552,191121646,0,2
1719629806,0.552,191121646,0,2
1719629807,0.552,191121646,0,2
1719629808,0.552,191121646,0,2
1719629809,0.552,191121646,0,2
1719629810,0.552,191121646,0,2
1719629811,0.552,191121646,0,2
1719629812,0.552,191121646,0,2
1719629813,0.552,191121646,0,2
1719629814,0.552,191121646,0,2
1719629815,0.552,191121646,0,2
1719629816,0.552,191121646,0,2
1719629817,0.552,191121646,0,2
1719629818,0.552,191121646,0,2
1719629819,0.552,191121646,0,2
1719629820,0.552,191121646,0,2
1719629821,0.552,191121646,0,2
1719629822,0.552,191121646,0,2
