ts,cpu_request,mem_request,oom,nodeid
1720080208,0.192,205114448,0,2
1720080209,0.192,205114448,0,2
1720080210,0.192,205114448,0,2
1720080211,0.192,205114448,0,2
1720080212,0.192,205114448,0,2
1720080213,0.192,205114448,0,2
1720080214,0.192,205114448,0,2
1720080215,0.192,205114448,0,2
1720080216,0.192,205114448,0,2
1720080217,0.192,205114448,0,2
1720080218,0.192,205114448,0,2
1720080219,0.192,205114448,0,2
1720080220,0.192,205114448,0,2
1720080221,0.192,205114448,0,2
1720080222,0.192,205114448,0,2
1720080223,0.192,205114448,0,2
1720080224,0.192,205114448,0,2
1720080225,0.192,205114448,0,2
1720080226,0.192,205114448,0,2
1720080227,0.192,205114448,0,2
1720080228,0.192,205114448,0,2
1720080229,0.192,205114448,0,2
1720080230,0.192,205114448,0,2
1720080231,0.192,205114448,0,2
1720080232,0.192,205114448,0,2
1720080233,0.192,205114448,0,2
1720080234,0.192,205114448,0,2
1720080235,0.192,205114448,0,2
1720080236,0.192,205114448,0,2
1720080237,0.192,205114448,0,2
1720080238,0.192,205114448,0,2
1720080239,0.192,205114448,0,2
1720080240,0.192,205114448,0,2
1720080241,0.192,205114448,0,2
1720080242,0.192,205114448,0,2
1720080243,0.192,205114448,0,2
1720080244,0.192,205114448,0,2
1720080245,0.192,205114448,0,2
1720080246,0.192,205114448,0,2
1720080247,0.192,205114448,0,2
1720080248,0.192,205114448,0,2
1720080249,0.192,205114448,0,2
1720080250,0.192,205114448,0,2
1720080251,0.192,205114448,0,2
1720080252,0.192,205114448,0,2
1720080253,0.192,205114448,0,2
1720080254,0.192,205114448,0,2
1720080255,0.192,205114448,0,2
1720080256,0.192,205114448,0,2
1720080257,0.192,205114448,0,2
1720080258,0.192,205114448,0,2
1720080259,0.192,205114448,0,2
1720080260,0.192,205114448,0,2
1720080261,0.192,205114448,0,2
1720080262,0.192,205114448,0,2
1720080263,0.192,205114448,0,2
1720080264,0.192,205114448,0,2
1720080265,0.192,205114448,0,2
1720080266,0.192,205114448,0,2
1720080267,0.192,205114448,0,2
1720080268,0.192,205114448,0,2
1720080269,0.192,205114448,0,2
1720080270,0.192,205114448,0,2
1720080271,0.192,205114448,0,2
1720080272,0.192,205114448,0,2
1720080273,0.192,205114448,0,2
1720080274,0.192,205114448,0,2
1720080275,0.192,205114448,0,2
1720080276,0.192,205114448,0,2
1720080277,0.192,205114448,0,2
1720080278,0.192,205114448,0,2
1720080279,0.192,205114448,0,2
1720080280,0.192,205114448,0,2
1720080281,0.192,205114448,0,2
1720080282,0.192,205114448,0,2
1720080283,0.192,205114448,0,2
1720080284,0.192,205114448,0,2
1720080285,0.192,205114448,0,2
1720080286,0.192,205114448,0,2
1720080287,0.192,205114448,0,2
1720080288,0.192,205114448,0,2
1720080289,0.192,205114448,0,2
1720080290,0.192,205114448,0,2
1720080291,0.192,205114448,0,2
1720080292,0.192,205114448,0,2
1720080293,0.192,205114448,0,2
1720080294,0.192,205114448,0,2
1720080295,0.192,205114448,0,2
1720080296,0.192,205114448,0,2
1720080297,0.192,205114448,0,2
1720080298,0.192,205114448,0,2
1720080299,0.192,205114448,0,2
1720080300,0.192,205114448,0,2
1720080301,0.192,205114448,0,2
1720080302,0.192,205114448,0,2
1720080303,0.192,205114448,0,2
1720080304,0.192,205114448,0,2
1720080305,0.192,205114448,0,2
1720080306,0.192,205114448,0,2
1720080307,0.192,205114448,0,2
1720080308,0.192,205114448,0,2
1720080309,0.192,205114448,0,2
1720080310,0.192,205114448,0,2
1720080311,0.192,205114448,0,2
1720080312,0.192,205114448,0,2
1720080313,0.192,205114448,0,2
1720080314,0.192,205114448,0,2
1720080315,0.192,205114448,0,2
