ts,cpu_request,mem_request,oom,nodeid
1720168160,0.009,8708195,1,0
1720168161,0.009,109056522,1,0
1720168162,0.009,213418782,1,0
1720168163,0.009,321955533,0,0
1720168164,0.009,321955533,0,0
1720168165,0.009,321955533,0,0
1720168166,0.009,321955533,0,0
1720168167,0.009,321955533,0,0
1720168168,0.009,321955533,0,0
1720168169,0.009,321955533,0,0
1720168170,0.009,321955533,0,0
1720168171,0.009,321955533,0,0
1720168172,0.009,321955533,0,0
1720168173,0.009,321955533,0,0
1720168174,0.009,321955533,0,0
1720168175,0.009,321955533,0,0
1720168176,0.009,321955533,0,0
1720168177,0.009,321955533,0,0
1720168178,0.009,321955533,0,0
1720168179,0.009,321955533,0,0
1720168180,0.009,321955533,0,0
1720168181,0.009,321955533,0,0
1720168182,0.009,321955533,0,0
1720168183,0.009,321955533,0,0
1720168184,0.009,321955533,0,0
1720168185,0.009,321955533,0,0
1720168186,0.009,321955533,0,0
1720168187,0.009,321955533,0,0
1720168188,0.009,321955533,0,0
1720168189,0.009,321955533,0,0
1720168190,0.009,321955533,0,0
1720168191,0.009,321955533,0,0
1720168192,0.009,321955533,0,0
1720168193,0.009,321955533,0,0
1720168194,0.009,321955533,0,0
1720168195,0.009,321955533,0,0
1720168196,0.009,321955533,0,0
1720168197,0.009,321955533,0,0
1720168198,0.009,321955533,0,0
1720168199,0.009,321955533,0,0
1720168200,0.009,321955533,0,0
1720168201,0.009,321955533,0,0
1720168202,0.009,321955533,0,0
1720168203,0.009,321955533,0,0
1720168204,0.009,321955533,0,0
1720168205,0.009,321955533,0,0
1720168206,0.009,321955533,0,0
1720168207,0.009,321955533,0,0
1720168208,0.009,321955533,0,0
1720168209,0.009,321955533,0,0
1720168210,0.009,321955533,0,0
1720168211,0.009,321955533,0,0
1720168212,0.009,321955533,0,0
1720168213,0.009,321955533,0,0
1720168214,0.009,321955533,0,0
1720168215,0.009,321955533,0,0
1720168216,0.009,321955533,0,0
1720168217,0.009,321955533,0,0
1720168218,0.009,321955533,0,0
1720168219,0.009,321955533,0,0
1720168220,0.009,321955533,0,0
1720168221,0.009,321955533,0,0
1720168222,0.009,321955533,0,0
1720168223,0.009,321955533,0,0
1720168224,0.009,321955533,0,0
1720168225,0.009,321955533,0,0
1720168226,0.009,321955533,0,0
1720168227,0.009,321955533,0,0
1720168228,0.009,321955533,0,0
1720168229,0.009,321955533,0,0
1720168230,0.009,321955533,0,0
1720168231,0.009,321955533,0,0
1720168232,0.009,321955533,0,0
1720168233,0.009,321955533,0,0
1720168234,0.009,321955533,0,0
1720168235,0.009,321955533,0,0
1720168236,0.009,321955533,0,0
1720168237,0.009,321955533,0,0
1720168238,0.009,321955533,0,0
1720168239,0.009,321955533,0,0
1720168240,0.009,321955533,0,0
1720168241,0.009,321955533,0,0
1720168242,0.009,321955533,0,0
1720168243,0.009,321955533,0,0
1720168244,0.009,321955533,0,0
1720168245,0.009,321955533,0,0
1720168246,0.009,321955533,0,0
1720168247,0.009,321955533,0,0
1720168248,0.009,321955533,0,0
1720168249,0.009,321955533,0,0
1720168250,0.009,321955533,0,0
1720168251,0.009,321955533,0,0
1720168252,0.009,321955533,0,0
1720168253,0.009,321955533,0,0
1720168254,0.009,321955533,0,0
1720168255,0.009,321955533,0,0
1720168256,0.009,321955533,0,0
1720168257,0.165,261245850,0,0
1720168258,0.165,261245850,0,0
1720168259,0.165,261245850,0,0
1720168260,0.165,261245850,0,0
1720168261,0.165,261245850,0,0
1720168262,0.165,261245850,0,0
1720168263,0.165,261245850,0,0
1720168264,0.165,261245850,0,0
1720168265,0.165,261245850,0,0
1720168266,0.165,261245850,0,0
1720168267,0.165,261245850,0,0
1720168268,0.165,261245850,0,0
1720168269,0.165,261245850,0,0
1720168270,0.165,261245850,0,0
1720168271,0.165,261245850,0,0
1720168272,0.165,261245850,0,0
1720168273,0.165,261245850,0,0
1720168274,0.165,261245850,0,0
1720168275,0.165,261245850,0,0
1720168276,0.165,261245850,0,0
1720168277,0.165,261245850,0,0
1720168278,0.165,261245850,0,0
1720168279,0.165,261245850,0,0
1720168280,0.165,261245850,0,0
1720168281,0.165,261245850,0,0
1720168282,0.165,261245850,0,0
1720168283,0.165,261245850,0,0
1720168284,0.165,261245850,0,0
1720168285,0.165,261245850,0,0
