ts,cpu_request,mem_request,oom,nodeid
1719895334,0.009,8708195,1,1
1719895335,0.009,109056522,1,1
1719895336,0.009,213418782,0,1
1719895337,0.009,213418782,0,1
1719895338,0.009,213418782,0,1
1719895339,0.009,213418782,0,1
1719895340,0.009,213418782,0,1
1719895341,0.009,213418782,0,1
1719895342,0.009,213418782,0,1
1719895343,0.009,213418782,0,1
1719895344,0.009,213418782,0,1
1719895345,0.009,213418782,0,1
1719895346,0.009,213418782,0,1
1719895347,0.009,213418782,0,1
1719895348,0.009,213418782,0,1
1719895349,0.009,213418782,0,1
1719895350,0.009,213418782,0,1
1719895351,0.009,213418782,0,1
1719895352,0.009,213418782,0,1
1719895353,0.009,213418782,0,1
1719895354,0.009,213418782,0,1
1719895355,0.009,213418782,0,1
1719895356,0.009,213418782,0,1
1719895357,0.009,213418782,0,1
1719895358,0.009,213418782,0,1
1719895359,0.009,213418782,0,1
1719895360,0.009,213418782,0,1
1719895361,0.009,213418782,0,1
1719895362,0.009,213418782,0,1
1719895363,0.009,213418782,0,1
1719895364,0.009,213418782,0,1
1719895365,0.009,213418782,0,1
1719895366,0.009,213418782,0,1
1719895367,0.009,213418782,0,1
1719895368,0.009,213418782,0,1
1719895369,0.009,213418782,0,1
1719895370,0.009,213418782,0,1
1719895371,0.009,213418782,0,1
1719895372,0.009,213418782,0,1
1719895373,0.009,213418782,0,1
1719895374,0.009,213418782,0,1
1719895375,0.009,213418782,0,1
1719895376,0.009,213418782,0,1
1719895377,0.009,213418782,0,1
1719895378,0.009,213418782,0,1
1719895379,0.009,213418782,0,1
1719895380,0.009,213418782,0,1
1719895381,0.009,213418782,0,1
1719895382,0.009,213418782,0,1
1719895383,0.009,213418782,0,1
1719895384,0.009,213418782,0,1
1719895385,0.009,213418782,0,1
1719895386,0.009,213418782,0,1
1719895387,0.009,213418782,0,1
1719895388,0.009,213418782,0,1
1719895389,0.009,213418782,0,1
1719895390,0.009,213418782,0,1
1719895391,0.009,213418782,0,1
1719895392,0.009,213418782,0,1
1719895393,0.009,213418782,0,1
1719895394,0.009,213418782,0,1
1719895395,0.009,213418782,0,1
1719895396,0.009,213418782,0,1
1719895397,0.009,213418782,0,1
1719895398,0.009,213418782,0,1
1719895399,0.009,213418782,0,1
1719895400,0.009,213418782,0,1
1719895401,0.009,213418782,0,1
1719895402,0.009,213418782,0,1
1719895403,0.009,213418782,0,1
1719895404,0.009,213418782,0,1
1719895405,0.009,213418782,0,1
1719895406,0.009,213418782,0,1
1719895407,0.009,213418782,0,1
1719895408,0.009,213418782,0,1
1719895409,0.009,213418782,0,1
1719895410,0.009,213418782,0,1
1719895411,0.009,213418782,0,1
1719895412,0.009,213418782,0,1
1719895413,0.009,213418782,0,1
1719895414,0.009,213418782,0,1
1719895415,0.009,213418782,0,1
1719895416,0.009,213418782,0,1
1719895417,0.009,213418782,0,1
1719895418,0.009,213418782,0,1
1719895419,0.009,213418782,0,1
1719895420,0.009,213418782,0,1
1719895421,0.009,213418782,0,1
1719895422,0.009,213418782,0,1
1719895423,0.009,213418782,0,1
1719895424,0.009,213418782,0,1
1719895425,0.009,213418782,0,1
1719895426,0.009,213418782,0,1
1719895427,0.009,213418782,0,1
1719895428,0.009,213418782,0,1
1719895429,0.009,213418782,0,1
1719895430,0.009,213418782,0,1
1719895431,0.009,213418782,0,1
1719895432,0.009,213418782,0,1
1719895433,0.009,213418782,0,1
1719895434,0.009,213418782,0,1
1719895435,0.009,213418782,0,1
1719895436,0.009,213418782,0,1
1719895437,0.009,213418782,0,1
1719895438,0.009,213418782,0,1
1719895439,0.009,213418782,0,1
1719895440,0.009,213418782,0,1
1719895441,0.009,213418782,0,1
1719895442,0.009,213418782,0,1
1719895443,0.009,213418782,0,1
1719895444,0.009,213418782,0,1
1719895445,0.009,213418782,0,1
1719895446,0.009,213418782,0,1
1719895447,0.009,213418782,0,1
1719895448,0.009,213418782,0,1
1719895449,0.009,213418782,0,1
1719895450,0.009,213418782,0,1
1719895451,0.009,213418782,0,1
1719895452,0.009,213418782,0,1
1719895453,0.009,213418782,0,1
1719895454,0.009,213418782,0,1
