ts,cpu_request,mem_request,oom,nodeid
1720799135,0.009,8708195,1,0
1720799136,0.009,109056522,1,0
1720799137,0.009,213418782,0,0
1720799138,0.009,213418782,0,0
1720799139,0.009,213418782,0,0
1720799140,0.009,213418782,0,0
1720799141,0.009,213418782,0,0
1720799142,0.009,213418782,0,0
1720799143,0.009,213418782,0,0
1720799144,0.009,213418782,0,0
1720799145,0.009,213418782,0,0
1720799146,0.009,213418782,0,0
1720799147,0.009,213418782,0,0
1720799148,0.009,213418782,0,0
1720799149,0.009,213418782,0,0
1720799150,0.009,213418782,0,0
1720799151,0.009,213418782,0,0
1720799152,0.009,213418782,0,0
1720799153,0.009,213418782,0,0
1720799154,0.009,213418782,0,0
1720799155,0.009,213418782,0,0
1720799156,0.009,213418782,0,0
1720799157,0.107,165455705,0,0
1720799158,0.107,165455705,0,0
1720799159,0.107,165455705,0,0
1720799160,0.107,165455705,0,0
1720799161,0.107,165455705,0,0
1720799162,0.107,165455705,0,0
1720799163,0.107,165455705,0,0
1720799164,0.107,165455705,0,0
1720799165,0.107,165455705,0,0
1720799166,0.107,165455705,0,0
1720799167,0.107,165455705,0,0
1720799168,0.107,165455705,0,0
1720799169,0.107,165455705,0,0
1720799170,0.107,165455705,0,0
1720799171,0.107,165455705,0,0
1720799172,0.107,165455705,0,0
1720799173,0.107,165455705,0,0
1720799174,0.107,165455705,0,0
1720799175,0.107,165455705,0,0
1720799176,0.107,165455705,0,0
1720799177,0.107,165455705,0,0
1720799178,0.107,165455705,0,0
1720799179,0.107,165455705,0,0
1720799180,0.107,165455705,0,0
1720799181,0.107,165455705,0,0
1720799182,0.107,165455705,0,0
1720799183,0.107,165455705,0,0
1720799184,0.107,165455705,0,0
1720799185,0.107,165455705,0,0
1720799186,0.107,165455705,0,0
1720799187,0.107,165455705,0,0
1720799188,0.107,165455705,0,0
1720799189,0.107,165455705,0,0
1720799190,0.107,165455705,0,0
1720799191,0.107,165455705,0,0
1720799192,0.107,165455705,0,0
1720799193,0.107,165455705,0,0
1720799194,0.107,165455705,0,0
1720799195,0.107,165455705,0,0
1720799196,0.107,165455705,0,0
1720799197,0.107,165455705,0,0
1720799198,0.107,165455705,0,0
1720799199,0.107,165455705,0,0
1720799200,0.107,165455705,0,0
1720799201,0.107,165455705,0,0
1720799202,0.107,165455705,0,0
1720799203,0.107,165455705,0,0
1720799204,0.107,165455705,0,0
1720799205,0.107,165455705,0,0
1720799206,0.107,165455705,0,0
1720799207,0.107,165455705,0,0
1720799208,0.107,165455705,0,0
1720799209,0.107,165455705,0,0
1720799210,0.107,165455705,0,0
1720799211,0.107,165455705,0,0
1720799212,0.107,165455705,0,0
1720799213,0.107,165455705,0,0
1720799214,0.107,165455705,0,0
1720799215,0.107,165455705,0,0
1720799216,0.107,165455705,0,0
1720799217,0.107,165455705,0,0
1720799218,0.107,165455705,0,0
1720799219,0.107,165455705,0,0
1720799220,0.107,165455705,0,0
1720799221,0.107,165455705,0,0
1720799222,0.107,165455705,0,0
1720799223,0.107,165455705,0,0
1720799224,0.107,165455705,0,0
1720799225,0.107,165455705,0,0
1720799226,0.107,165455705,0,0
1720799227,0.107,165455705,0,0
1720799228,0.107,165455705,0,0
1720799229,0.107,165455705,0,0
1720799230,0.107,165455705,0,0
1720799231,0.107,165455705,0,0
1720799232,0.107,165455705,0,0
1720799233,0.107,165455705,0,0
1720799234,0.107,165455705,0,0
1720799235,0.107,165455705,0,0
1720799236,0.107,165455705,0,0
1720799237,0.107,165455705,0,0
1720799238,0.107,165455705,0,0
1720799239,0.107,165455705,0,0
1720799240,0.107,165455705,0,0
1720799241,0.107,165455705,0,0
1720799242,0.107,165455705,0,0
1720799243,0.107,165455705,0,0
